food_name,calories,protein,carbs,fats,vit_c,calcium,iron
Egg (whole),155,13.0,1.1,11.0,0,50,1.2
White Rice (boiled),130,2.7,28,0.3,0,10,0.2
Brown Rice (boiled),111,2.6,23,0.9,0,10,0.4
Balu shahi,333,4.8,44.6,16.7,0,0,0
Boondi,338,12.7,58.8,16.2,0,0,3
Gajar ka halwa,377,12.8,48.8,20.0,0,150,0
Ghevar,370,10.6,48.7,20.9,0,150,0
Gulab jamun,376,11.5,43.0,20.7,0,150,0
Imarti,245,14.3,64.0,4.5,0,0,3
Jalebi,307,12.4,45.5,11.3,0,150,0
Kaju katli,330,4.6,49.4,14.9,0,0,0
Kalakand,302,10.9,47.3,10.4,0,150,0
Kheer,309,11.0,47.5,9.7,0,150,0
Laddu,321,13.2,64.6,14.9,0,0,3
Lassi,308,12.5,43.3,11.6,0,150,0
Nankhatai,336,4.4,47.0,14.8,0,0,0
Petha,240,4.3,43.6,5.1,0,0,0
Phirni,244,2.0,43.8,6.4,0,0,0
Rabri,308,12.7,47.7,10.7,0,150,0
Sheera,382,11.1,45.2,21.2,0,150,0
Singori,260,4.7,44.0,6.4,0,0,0
Sohan halwa,339,3.0,47.3,16.1,0,0,0
Sohan papdi,376,21.3,63.6,19.0,0,150,3
Chhena jalebi,332,3.7,44.6,16.4,0,0,0
Chhena kheeri,298,10.9,47.1,9.8,0,150,0
Chhena poda,295,10.8,48.8,11.1,0,150,0
Cham cham,241,3.5,43.6,6.8,15,0,0
Kheer sagar,304,12.6,46.1,11.4,0,150,0
Ledikeni,323,2.1,47.2,14.3,0,0,0
Lyangcha,301,12.2,48.9,11.3,0,150,0
Malapua,331,2.3,45.8,15.3,0,0,0
Mihidana,321,2.2,49.2,14.2,0,0,0
Misti doi,301,12.0,49.8,11.0,0,150,0
Pantua,336,4.1,46.5,14.3,0,0,0
Pithe,250,2.7,45.6,6.8,0,0,0
Rasabali,309,11.9,47.0,9.8,0,150,0
Ras malai,292,13.0,49.5,11.9,0,150,0
Rasgulla,241,2.9,49.3,5.4,0,0,0
Sandesh,298,11.6,43.3,11.2,0,150,0
Adhirasam,327,5.0,44.0,15.5,0,0,0
Ariselu,334,3.8,45.9,14.0,0,0,0
Bandar laddu,340,3.1,45.5,15.0,0,0,0
Chikki,245,2.2,45.3,6.7,0,0,0
Dharwad pedha,291,10.7,46.6,11.1,0,150,0
